geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
"PA14_02850,pcaC",36,42,31,28,23,38
PA14_02870,17,15,15,13,19,16
PA14_02890,3,5,2,2,0,4
"PA14_02900,pcaK",7,3,3,5,1,1
PA14_02910,2,15,15,12,10,16
PA14_02930,1,4,3,6,12,7
PA14_02960,1,1,1,0,1,2
PA14_02970,4,9,5,7,4,8
PA14_02980,3,5,0,1,1,3
PA14_02990,2,3,6,6,2,3
PA14_03000,5,7,6,16,11,16
PA14_03010,29,36,22,36,14,30
"PA14_03020,aroE",3,1,1,3,2,1
"PA14_03030,aroQ2",1,2,0,4,1,5
PA14_03040,16,25,12,30,15,19
"PA14_03050,pobA",17,8,45,47,27,24
"PA14_03070,pobR",20,19,14,18,11,18
PA14_03080,23,13,19,22,9,28
PA14_03090,49,93,52,111,21,75
PA14_03100,4,5,4,9,2,9
PA14_03110,5,4,2,3,1,5
PA14_03120,7,14,8,9,13,7
PA14_03130,36,29,20,45,22,42
PA14_03150,27,42,28,31,16,27
PA14_03160,116,158,81,117,68,124
PA14_03163,1220,1097,1053,1202,677,1229
PA14_03166,118,124,108,113,91,109
PA14_03170,70,86,55,82,57,153
PA14_03180,116,107,71,111,164,180
PA14_03190,535,483,425,617,505,1007
PA14_03200,534,545,429,669,559,1326
PA14_03210,126,119,82,158,103,248
PA14_03220,416,344,255,471,344,657
"PA14_03240,hcpC",151,194,165,257,141,258
PA14_03250,208,220,173,206,149,295
PA14_03265,77,85,55,103,52,95
PA14_03270,491,510,412,509,356,651
PA14_03285,130,136,110,135,122,166
PA14_03290,141,138,148,176,163,244
PA14_03300,38,20,43,80,30,59
PA14_03310,23,42,19,26,22,23
PA14_03320,134,127,123,131,136,164
PA14_03330,82,59,55,84,62,105
PA14_03340,93,46,66,84,51,132
PA14_03350,360,273,338,382,338,515
PA14_03360,272,286,276,340,516,470
PA14_03370,98,106,121,132,99,152
PA14_03380,275,277,223,273,175,359
PA14_03390,10,20,8,11,7,14
PA14_03400,7,9,8,5,4,4
PA14_03410,102,57,90,63,116,67
PA14_03420,7,0,1,4,0,4
"PA14_03430,gabD",310,274,276,368,213,430
"PA14_03450,gabT",163,191,192,208,219,225
PA14_03470,33,19,24,34,43,17
PA14_03480,8,9,16,15,7,17
PA14_03490,44,79,45,79,63,55
PA14_03510,36,47,53,49,29,68
PA14_03520,33,30,26,30,56,39
PA14_03530,7,19,10,13,6,17
"PA14_03550,cynX",1,0,0,2,2,1
PA14_03560,1,3,1,2,5,2
PA14_03580,34,36,24,38,16,31
PA14_03590,27,14,15,17,21,29
"PA14_03610,ycaL",35,28,27,44,25,50
PA14_03620,3,4,3,5,3,4
PA14_03630,2,6,3,2,4,5
"PA14_03650,cysA",141,165,86,81,125,239
"PA14_03670,cysW",141,153,117,94,192,302
"PA14_03680,cysT",46,72,43,50,74,89
"PA14_03700,sbp",88,128,70,65,118,125
PA14_03710,27,29,23,20,31,42
PA14_03720,60,82,41,72,70,66
PA14_03730,563,1087,498,530,496,543
PA14_03760,2,9,2,4,4,6
"PA14_03770,speB1",5,5,2,2,2,4
PA14_03780,24,36,22,38,11,18
PA14_03790,99,144,77,89,69,134
"PA14_03800,oprE",610,597,394,508,405,698
"PA14_03810,aguA",69,79,52,71,57,77
"PA14_03830,aguB",15,37,16,24,29,20
"PA14_03840,aguR",45,70,44,56,24,44
PA14_03855,39,69,42,53,40,41
PA14_03860,206,264,223,242,226,241
"PA14_03870,spuA",28,31,38,40,19,56
"PA14_03880,spuB",164,195,182,218,132,223
"PA14_03900,spuC",289,276,226,384,175,400
"PA14_03920,spuD",513,503,607,702,527,730
"PA14_03930,spuE",190,215,207,276,125,263
"PA14_03940,spuF",145,172,147,246,170,211
"PA14_03950,spuG",190,212,207,261,198,276
"PA14_03960,spuH",144,144,109,157,142,139
PA14_03980,71,78,64,90,83,100
PA14_04000,25,23,17,15,20,19
PA14_04010,187,288,191,260,193,227
PA14_04020,23,22,19,31,22,37
PA14_04030,33,25,20,46,26,38
PA14_04040,47,50,40,29,35,49
PA14_04050,47,46,39,40,51,31
PA14_04060,0,0,0,1,0,1
PA14_04070,23,23,16,10,21,20
"PA14_04080,yecS",59,64,61,65,78,77
"PA14_04090,fliY",53,81,40,70,81,75
PA14_04100,110,178,112,170,103,164
"PA14_04110,serA",364,399,288,401,343,451
PA14_04140,217,330,185,327,187,314
"PA14_04150,ycgM",171,195,135,180,132,195
PA14_04160,118,145,80,123,68,119
PA14_04180,347,296,107,106,284,212
"PA14_04190,aphA",3,8,5,6,7,4
PA14_04210,5,6,2,9,10,6
PA14_04220,8,8,5,14,4,9
PA14_04230,2,3,4,1,0,0
PA14_04240,4,7,2,11,3,6
PA14_04250,1,0,1,1,3,2
PA14_04270,184,190,87,103,159,143
PA14_04290,21,28,10,20,14,18
PA14_04300,83,102,52,65,45,78
"PA14_04310,rpiA",62,73,59,83,64,91
"PA14_04320,ilvA1",94,109,73,95,79,120
PA14_04330,77,94,66,72,63,82
PA14_04340,39,39,24,31,50,52
PA14_04350,21,37,24,33,26,31
PA14_04370,14,13,15,18,12,13
PA14_04380,41,29,26,40,26,37
"PA14_04390,ygdP",388,412,244,359,375,360
"PA14_04410,ptsP",784,975,592,876,734,1002
PA14_04420,227,328,134,240,191,231
PA14_04430,11,10,6,10,6,4
PA14_04440,45,49,33,53,83,61
"PA14_04460,lgt",61,94,48,78,91,76
"PA14_04480,thyA",131,245,88,151,113,147
PA14_04490,38,51,27,24,33,34
PA14_04510,50,52,40,32,53,62
PA14_04520,23,17,26,25,31,29
PA14_04530,5,10,4,3,3,6
"PA14_04550,glpQ",6,6,85,85,16,32
PA14_04560,6,10,5,9,11,11
PA14_04570,1,2,0,5,3,1
"PA14_04580,folA",6,8,8,12,16,10
PA14_04590,16,35,17,28,26,27
"PA14_04610,yicE",21,20,13,19,14,16
"PA14_04630,ilvD",334,308,265,417,347,369
PA14_04640,37,44,19,35,40,50
"PA14_04650,pfpI",63,83,53,51,61,64
PA14_04660,45,45,31,33,26,57
"PA14_04670,mutM",42,60,26,48,35,34
PA14_04680,7,10,7,9,4,6
PA14_04690,21,18,16,16,24,24
PA14_04700,93,79,65,118,117,111
PA14_04710,30,26,22,47,28,41
PA14_04730,70,77,63,87,94,103
"PA14_04750,fdx1",76,126,69,82,31,102
"PA14_04760,coaD",163,178,99,151,70,183
PA14_04780,37,38,47,61,36,52
PA14_04790,37,22,25,39,36,38
PA14_04810,202,261,194,318,161,279
PA14_04820,46,69,39,41,42,45
PA14_04830,13,21,12,18,19,17
PA14_04840,32,37,21,31,37,22
PA14_04850,7,5,2,3,7,12
"PA14_04860,yhhF",41,49,26,47,54,42
PA14_04870,105,115,62,115,90,116
PA14_04890,105,114,94,108,112,123
"PA14_04900,ftsY",182,225,125,252,162,223
"PA14_04910,ftsE",82,82,62,88,122,69
"PA14_04920,ftsX",177,221,157,185,175,182
"PA14_04930,rpoH",1103,1369,883,1100,934,1388
PA14_04940,35,37,19,27,45,32
"PA14_04950,mtgA",19,18,8,30,10,33
PA14_04960,38,40,17,32,40,29
"PA14_04970,thiS",7,15,13,9,9,4
"PA14_04980,thiG",69,86,53,60,75,86
"PA14_05000,trmB",54,41,46,45,45,93
PA14_05010,4,7,4,5,5,9
